fico, loanRateDiff, loanTimeRemaining, isInCurrentOrder, noFee, loanType, purpose, loanAmountRequested, title, loanAmtRemaining, primeUnfundedAmount, alreadyInvestedIn, loanGrade, searchrank, loan_status, hasCosigner, isWholeLoan, primeFractions, wholeLoanTimeRemaining, alreadySelected, loanUnfundedAmount, loanAmt, loanLength, loanGUID, amountToInvest, primeTotalInvestment, loanRate, primeMarkedInvestment, 
680-684, .00, 843962818, false, 0, Personal, credit_card, 16000, Credit card refinancing, 475, 0, false, C5, -0.054850966, INFUNDING, false, 0, 0, -309235182, false, 475, 16000, 60, 70082200, 0, 0, 14.85, 0, 
705-709, .00, 772557818, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 1000, 0, false, D1, -0.07052403, INFUNDING, false, 0, 0, -381235182, false, 900, 20000, 60, 70071619, 0, 0, 15.77, 0, 
670-674, .00, 779726818, false, 0, Personal, debt_consolidation, 12000, Debt consolidation, 1250, 0, false, C1, -0.14640482, INFUNDING, false, 0, 0, -381235182, false, 1250, 12000, 60, 70071654, 0, 0, 11.99, 0, 
660-664, .00, 759066818, false, 0, Personal, credit_card, 32000, 1725, 0, false, D2, -0.20548882, INFUNDING, false, 0, 0, -395635182, false, 1725, 32000, 60, 69096832, 0, 0, 16.59, 0, 
720-724, .00, 690558818, false, 0, Personal, credit_card, 24000, Credit card refinancing, 5550, 0, false, B2, -0.6462565, INFUNDING, false, 0, 0, -510835182, false, 5550, 24000, 60, 70100689, 0, 0, 9.17, 0, 
685-689, .00, 673156818, false, 0, Personal, debt_consolidation, 20400, Debt consolidation, 6375, 0, false, B1, -0.6757595, INFUNDING, false, 0, 0, -482035182, false, 6375, 20400, 60, 68682227, 0, 0, 8.49, 0, 
750-754, .00, 860462818, false, 0, Personal, car, 12000, Car financing, 1975, 0, false, B2, -0.75278324, INFUNDING, false, 0, 0, -294835182, false, 1975, 12000, 60, 69991826, 0, 0, 9.17, 0, 
680-684, .00, 772231818, false, 0, Personal, credit_card, 15000, Credit card refinancing, 3950, 0, false, B3, -0.76892495, INFUNDING, false, 0, 0, -381235182, false, 3950, 15000, 60, 68846013, 0, 0, 9.80, 0, 
670-674, .00, 861343818, false, 0, Personal, debt_consolidation, 10000, Debt consolidation, 2175, 0, false, D3, -0.82179224, INFUNDING, false, 0, 0, -294835182, false, 2175, 10000, 60, 70090860, 0, 0, 17.27, 0, 
735-739, .00, 906904818, false, 0, Personal, debt_consolidation, 16000, Debt consolidation, 1450, 0, false, C4, -0.82750046, INFUNDING, false, 0, 0, -251635182, false, 1450, 16000, 60, 70072573, 0, 0, 13.99, 0, 
705-709, .00, 759831818, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 4700, 0, false, D4, -0.82751024, INFUNDING, false, 0, 0, -438835182, false, 4700, 35000, 60, 69473932, 0, 0, 17.97, 0, 
